,City,Clouds,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
214,Thompson,75,CA,1578070988,92,55.74,-97.86,260.15,2.1
215,Ouegoa,0,NC,1578070988,91,-20.34,164.44,292.68,1.78
216,Neuquen,0,AR,1578070989,38,-38.95,-68.06,305.15,4.1
217,Karachi,12,PK,1578070932,59,24.87,67.03,290.15,2.73
218,Trincomalee,0,LK,1578070989,94,8.58,81.23,297.24,1.01
219,Petropavlivka,70,UA,1578070989,87,48.46,36.42,271.35,1.92
220,Cadillac,90,US,1578070716,69,44.25,-85.4,274.26,3.1
221,Norman Wells,90,CA,1578070989,76,65.28,-126.83,250.15,4.1
222,Innisfail,74,AU,1578070989,92,-17.52,146.03,296.13,2.14
223,Oussouye,77,SN,1578070989,29,12.49,-16.54,305.15,3.1
224,Berdigestyakh,99,RU,1578070989,97,62.1,126.7,241.71,2.38
225,Manado,40,ID,1578070989,94,1.49,124.85,297.15,0.5
226,Rosa Zarate,95,EC,1578070989,82,0.33,-79.47,300.38,2.33
227,Umm Kaddadah,70,SD,1578070989,24,13.6,26.69,292.42,6.11
228,Vao,100,EE,1578070990,92,59.1,26.19,278.1,7.02
229,Fayaoue,0,NC,1578070990,77,-20.65,166.53,297.5,8.66
230,Obo,100,CF,1578070990,27,5.39,26.49,302.97,1.85
231,Ust-Maya,25,RU,1578070990,96,60.42,134.54,237.1,1.06
232,Payson,75,US,1578070990,79,40.04,-111.73,276.48,1.5
233,Kruisfontein,42,ZA,1578070990,88,-34.0,24.73,292.95,3.76
234,Mahon,20,IE,1578070990,75,51.89,-8.4,279.15,2.1
235,Namibe,99,AO,1578070990,80,-15.19,12.15,297.31,2.76
236,Vostochnyy,40,RU,1578070990,92,55.82,37.87,274.26,6.0
237,Marsa Matruh,40,EG,1578070990,87,31.35,27.25,283.15,6.2
238,Anadyr,0,RU,1578070990,66,64.73,177.51,239.15,5.0
239,Belmonte,19,PT,1578070991,85,40.36,-7.35,285.93,1.34
240,Anjiang,100,CN,1578070991,87,27.32,110.14,277.57,1.15
241,Duldurga,15,RU,1578070991,86,50.67,113.59,258.16,1.76
242,La Rioja,0,AR,1578070991,37,-29.41,-66.86,299.64,3.37
243,Barra Patuca,100,HN,1578070991,72,15.8,-84.28,300.78,6.92
244,Weiser,1,US,1578070991,86,44.25,-116.97,273.71,0.65
245,Provideniya,0,RU,1578070991,69,64.42,-173.23,247.93,4.19
246,Hovd,90,NO,1578070991,86,63.83,10.7,276.48,9.3
247,Hofn,30,IS,1578070985,44,64.25,-15.21,267.15,11.8
